tomst_id,T1,T2,T3
94194333,0.2036,0,-0.0041
94194323,0.2382,0,-0.029
94194313,0.1799,-0.0583,0
94194421,0.09,0,-0.0194
94194331,0.1491,0,-0.0171
94194292,0.103,0,-0.124
94194337,0.0381,0,-0.1856
94194299,0,-0.1395,0.0099
94212876,0.1311,-0.0343,0
94194205,0.1235,-0.1637,0
94190043,0.0645,0,-0.0957
94212877,-0.0315,0.229,0
94194293,0.1817,-0.0064,0
94194297,0.1145,-0.0276,0
94194209,0.2013,-0.0074,0
94194204,0.1871,-0.015,0
94194332,0.0492,0,-0.1599
94194334,0,-0.0046,0.0743
94194208,0,-0.0639,0.0307
94194340,0.1006,-0.0991,0
94194291,0.1062,-0.0253,0
94194339,0.0529,-0.0724,0
94194325,0,-0.0041,0.1709
94212201,-0.0222,0.0033,0
94212202,0,0.1037,-0.066
94212203,0.0061,0,-0.1656
94212204,0.0683,0,-0.0716
